energy,liveness,tempo,speechiness,acousticness,instrumentalness,loudness,danceability,key,mode,valence,treinamento
0.449,0.552,77.169,0.109,0.0332,8.29e-05,-9.211,0.754,7.0,1.0,0.357,2
0.613,0.123,75.023,0.145,0.258,0.00372,-4880,0.74,8.0,1.0,0.473,2
0.535,0.131,159.847,0.0898,0.117,6.56e-05,-6090,0.587,5.0,0.0,0.14,0
0.559,0.112,140.124,0.117,0.58,0.0,-8.011,0.739,8.0,1.0,0.439,0
0.626,0.396,91.03,0.125,0.0589,6e-05,-5.833,0.835,1.0,1.0,0.35,0
0.563,0.136,145.028,0.0454,0.354,0.0,-5.843,0.68,10.0,1.0,0.374,0
0.726,0.372,136.048,0.129,0.099,0.0,-3.998,0.816,5.0,0.0,0.65,1
0.862,0.0814,123.994,0.11,0.037,2.19e-05,-3240,0.791,9.0,0.0,0.592,1
0.544,0.0824,97.028,0.0943,0.0403,0.0,-5.975,0.836,7.0,1.0,0.51,1
0.88,0.128,95.079,0.0504,0.205,0.0,-2.384,0.626,9.0,0.0,0.534,1
0.523,0.132,104.988,0.03,0.184,3.56e-05,-4.333,0.765,2.0,1.0,0.394,1
0.566,0.34,83.903,0.2,0.349,0.0,-7230,0.511,6.0,0.0,0.218,0
0.909,0.119,93.394,0.0705,0.0891,0.000109,-6.474,0.586,8.0,1.0,0.757,0
0.541,0.13,124.959,0.0505,0.568,0.0,-6.825,0.851,0.0,1.0,0.448,1
0.657,0.112,107.01,0.0449,0.171,0.0,-3.061,0.753,7.0,1.0,0.437,1
0.633,0.0926,96.924,0.0597,0.0605,0.000194,-4.946,0.698,8.0,1.0,0.552,0
0.713,0.294,121.993,0.0594,0.04,3.11e-06,-5.507,0.699,9.0,0.0,0.354,1
0.773,0.334,180.073,0.0549,0.0364,0.00108,-4.736,0.595,9.0,0.0,0.711,0
0.537,0.102,128.009,0.0804,0.556,0.00404,-5.723,0.921,9.0,0.0,0.711,2
0.581,0.105,140.022,0.27,0.00104,5.86e-05,-7.495,0.922,10.0,1.0,0.595,0
0.809,0.165,92.213,0.0474,0.194,0.0,-4.057,0.653,0.0,1.0,0.55,1
0.675,0.0595,96.507,0.214,0.542,1.28e-05,-3.445,0.903,11.0,0.0,0.442,1
0.789,0.451,142.929,0.0722,0.0161,2.77e-06,-3.874,0.71,4.0,1.0,0.717,1
0.854,0.124,120.274,0.463,0.0169,0.0,-5.114,0.596,7.0,0.0,0.152,1
0.7,0.153,116.073,0.0694,0.00261,1.56e-05,-6.021,0.762,9.0,0.0,0.608,1
0.652,0.0931,95.977,0.0802,0.581,0.0,-3.183,0.825,1.0,0.0,0.931,0
0.648,0.134,143.955,0.0449,0.0956,0.0,-5.626,0.708,6.0,1.0,0.338,1
0.772,0.0646,153.995,0.0848,0.0476,0.0,-6610,0.642,10.0,1.0,0.589,2
0.391,0.297,134.021,0.242,0.469,4.13e-06,-9.144,0.872,0.0,0.0,0.437,2
0.448,0.106,95.05,0.0232,0.163,0.0,-6.312,0.599,8.0,1.0,0.168,0
0.559,0.101,97.994,0.12,0.0236,0.0,-7.442,0.884,0.0,1.0,0.342,1
0.636,0.35,105.005,0.0437,0.0441,6.66e-05,-4.546,0.737,11.0,0.0,0.565,0
0.538,0.196,143.95,0.0382,0.0689,0.0,-5.408,0.556,8.0,0.0,0.291,2
0.691,0.418,99.976,0.196,0.156,9.78e-06,-8.354,0.592,3.0,1.0,0.0796,1
0.889,0.0925,96.024,0.0429,0.0328,0.0,-3.655,0.726,0.0,1.0,0.649,2
0.68,0.116,89.391,0.321,0.555,0.0,-7.648,0.56,6.0,0.0,0.319,1
0.713,0.137,129.923,0.0747,0.181,0.000637,-4.333,0.637,0.0,1.0,0.243,1
0.807,0.183,124.946,0.0432,0.129,0.0,-4590,0.72,11.0,0.0,0.305,2
0.308,0.0984,64.934,0.029,0.883,0.0,-10.068,0.669,11.0,1.0,0.52,2
0.77,0.118,125.905,0.149,0.176,1.1e-05,-5.335,0.694,6.0,1.0,0.163,0
0.749,0.0713,90.09,0.516,0.142,0.0,-5.916,0.748,8.0,0.0,0.659,1
0.848,0.409,95.0,0.0506,0.183,0.0,-3.456,0.791,1.0,1.0,0.828,0
0.73,0.124,155.008,0.222,0.00513,0.0,-3.714,0.834,8.0,1.0,0.446,2
0.822,0.147,167.997,0.0438,0.00671,0.134,-4.833,0.605,0.0,1.0,0.288,0
0.779,0.636,94.023,0.0972,0.0543,0.0,-4.449,0.777,0.0,0.0,0.768,0
0.834,0.0586,128.005,0.045,0.374,0.0,-2.867,0.747,3.0,0.0,0.687,1
0.859,0.0215,105.115,0.0996,0.0185,0.0,-4.877,0.704,5.0,0.0,0.926,1
0.724,0.12,102.061,0.0486,0.0945,1.68e-06,-4.856,0.601,6.0,1.0,0.508,0
0.721,0.173,148.066,0.122,0.298,0.0,-5.665,0.656,5.0,0.0,0.468,2
0.598,0.35,134.045,0.036,0.218,0.0,-4.929,0.489,1.0,1.0,0.172,0
0.428,0.114,100.007,0.206,0.149,5.07e-05,-8280,0.88,9.0,1.0,0.333,1
0.792,0.167,100.015,0.0452,0.191,0.0,-2.749,0.687,5.0,1.0,0.671,2
0.375,0.173,91.92,0.0491,0.652,0.0,-8.279,0.698,5.0,1.0,0.534,0
